ALP UMA  BET UMA
ALP UMA  DEL UMA
BET UMA  GAM UMA
DEL UMA  GAM UMA
DEL UMA  EPS UMA
ZET UMA  EPS UMA
ZET UMA  ETA UMA
ALP UMA  23  UMA
OMI UMA  23  UMA
OMI UMA  SIG2UMA
ALP UMA  23  UMA
PHI UMA  UPS UMA
PHI UMA  THE UMA
IOT UMA  THE UMA
BET UMA  UPS UMA
GAM UMA  CHI UMA
PSI UMA  CHI UMA
PSI UMA  LAM UMA

ALP ORI  ZET ORI
ALP ORI  GAM ORI
ALP ORI  LAM ORI
GAM ORI  LAM ORI
GAM ORI  DEL ORI
EPS ORI  DEL ORI
EPS ORI  ZET ORI
DEL ORI  BET ORI
ZET ORI  KAP ORI
BET ORI  KAP ORI
GAM ORI  PI 3ORI
PI 3ORI  PI 4ORI
PI 4ORI  PI 5ORI
PI 5ORI  PI 6ORI
PI 3ORI  PI 2ORI
PI 2ORI  PI 1ORI
ALP ORI  MU  ORI
XI  ORI  MU  ORI
XI  ORI  NU  ORI
CHI2ORI  XI  ORI
CHI1ORI  NU  ORI

ALP CYG  GAM CYG
DEL CYG  GAM CYG
DEL CYG  THE CYG
IOT2CYG  THE CYG
IOT2CYG  KAP CYG
GAM CYG  EPS CYG
ZET CYG  EPS CYG
ZET CYG  MU1 CYG
GAM CYG  ETA CYG
CHI CYG  ETA CYG
CHI CYG  PHI CYG
BET1CYG  PHI CYG

ALP LYR  ZET1LYR
ZET1LYR  DEL2LYR
THE LYR  DEL2LYR
THE LYR  ETA LYR
DEL2LYR  GAM LYR
ZET1LYR  BET LYR
ALP LYR  KAP LYR
ALP LYR  EPS2LYR
13  LYR  EPS2LYR

ALP CAS  BET CAS
ALP CAS  GAM CAS
DEL CAS  GAM CAS
KAP CAS  GAM CAS
KAP CAS  IOT CAS
DEL CAS  EPS CAS
ALP CAS  ZET CAS
THE CAS  ZET CAS

ALP AND  DEL AND
EPS AND  DEL AND
EPS AND  ZET AND
DEL AND  BET AND
UPS AND  BET AND
UPS AND  GAM AND
ALP AND  PI  AND
MU  AND  PI  AND
MU  AND  XI  AND
ALP AND  SIG AND
THE AND  SIG AND
THE AND  NU  AND
THE AND  KAP AND
OMI AND  KAP AND

ALP CEP  ETA CEP
THE CEP  ETA CEP
ALP CEP  ZET CEP
EPS CEP  ZET CEP
EPS CEP  DEL CEP
ZET CEP  IOT CEP
GAM CEP  IOT CEP
GAM CEP  BET CEP
BET CEP  IOT CEP
ALP CEP  BET CEP

ALP AQR  BET AQR
EPS AQR  BET AQR
ALP AQR  THE AQR
IOT AQR  THE AQR
ALP AQR  GAM AQR
ZET1AQR  GAM AQR
ZET1AQR  PI  AQR
ZET1AQR  ETA AQR
GAM AQR  PHI AQR
LAM AQR  PHI AQR
OME2AQR  PHI AQR
LAM AQR  TAU2AQR
DEL AQR  TAU2AQR

ALP AQL  DEL AQL
ZET AQL  DEL AQL
ETA AQL  DEL AQL
ETA AQL  IOT AQL
LAM AQL  IOT AQL
LAM AQL  ZET AQL
DEL AQL  ZET AQL

ALP ARA  EPS1ARA
ZET ARA  EPS1ARA
ZET ARA  ETA ARA
ZET ARA  GAM ARA
DEL ARA  GAM ARA
BET ARA  GAM ARA
BET ARA  ALP ARA

ALP ARI  LAM ARI
ALP ARI  BET ARI
BET ARI  GAM ARI
ALP ARI  33  ARI
41  ARI  33  ARI
ALP ARI  NU  ARI
EPS ARI  NU  ARI
EPS ARI  DEL ARI
EPS ARI  ZET ARI
ZET ARI  TAU1ARI

ALP AUR  ETA AUR
ZET AUR  ETA AUR
ZET AUR  IOT AUR
GAM AUR  IOT AUR
THE AUR  IOT AUR
THE AUR  KAP AUR
THE AUR  BET AUR
DEL AUR  ALP AUR
DEL AUR  BET AUR
THE AUR  PSI7AUR
PSI5AUR  PSI7AUR
PSI5AUR  PSI2AUR
PSI5AUR  PSI4AUR
PSI6AUR  PSI4AUR
PSI1AUR  PSI4AUR

ZET BOO  PI1 BOO
ALP BOO  PI1 BOO
ALP BOO  ETA BOO
TAU BOO  ETA BOO
TAU BOO  UPS BOO
ALP BOO  EPS BOO
DEL BOO  EPS BOO
DEL BOO  MU1 BOO
DEL BOO  BET BOO
GAM BOO  BET BOO
GAM BOO  RHO BOO
ALP BOO  RHO BOO
GAM BOO  LAM BOO
KAP2BOO  LAM BOO
KAP2BOO  THE BOO

ALP SEX  BET SEX
ALP SEX  GAM SEX

NU  TAU  MU  TAU
LAM TAU  MU  TAU
LAM TAU  5   TAU
XI  TAU  5   TAU
XI  TAU  OMI TAU
LAM TAU  GAM TAU
ZET TAU  ALP TAU
THE2TAU  ALP TAU
THE2TAU  GAM TAU
DEL1TAU  GAM TAU
DEL1TAU  EPS TAU
TAU TAU  EPS TAU
TAU TAU  BET TAU

ALP CNC  DEL CNC
GAM CNC  DEL CNC
GAM CNC  IOT CNC
DEL CNC  BET CNC

ALP CMA  BET CMA
ALP CMA  OMI2CMA
DEL CMA  OMI2CMA
DEL CMA  OME CMA
TAU CMA  OME CMA
ETA CMA  OME CMA
DEL CMA  EPS CMA
ZET CMA  EPS CMA
KAP CMA  EPS CMA
KAP CMA  LAM CMA

ALP CMI  BET CMI

DEL CAP  GAM CAP
IOT CAP  GAM CAP
IOT CAP  THE CAP
BET CAP  THE CAP
BET CAP  ALP2CAP
BET CAP  RHO CAP
PSI CAP  RHO CAP
PSI CAP  OME CAP
ZET CAP  OME CAP
ZET CAP  DEL CAP

ALP COM  BET COM
BET COM  GAM COM

THE CRB  BET CRB
ALP CRB  BET CRB
ALP CRB  GAM CRB
DEL CRB  GAM CRB
DEL CRB  EPS CRB
IOT CRB  EPS CRB

ALP CRV  EPS CRV
BET CRV  EPS CRV
BET CRV  DEL CRV
GAM CRV  DEL CRV
GAM CRV  EPS CRV

ETA CRT  ZET CRT
ZET CRT  GAM CRT
DEL CRT  GAM CRT
DEL CRT  EPS CRT
THE CRT  EPS CRT
GAM CRT  BET CRT
ALP CRT  BET CRT
ALP CRT  DEL CRT

BET CRU  DEL CRU
GAM CRU  ALP CRU

ALP DEL  BET DEL
EPS DEL  BET DEL
DEL DEL  BET DEL
DEL DEL  GAM2DEL
ALP DEL  GAM2DEL

LAM DRA  KAP DRA
ALP DRA  KAP DRA
ALP DRA  IOT DRA
THE DRA  IOT DRA
THE DRA  ETA DRA
ZET DRA  ETA DRA
ZET DRA  PSI1DRA
CHI DRA  PSI1DRA
CHI DRA  EPS DRA
DEL DRA  EPS DRA
DEL DRA  XI  DRA
GAM DRA  XI  DRA
GAM DRA  BET DRA
NU2 DRA  BET DRA
NU2 DRA  XI  DRA

ALP EQU  BET EQU
DEL EQU  BET EQU
DEL EQU  GAM EQU

LAM ERI  BET ERI
OME ERI  BET ERI
OME ERI  MU  ERI
NU  ERI  MU  ERI
NU  ERI  XI  ERI
OMI1ERI  XI  ERI
OMI1ERI  GAM ERI
DEL ERI  GAM ERI
DEL ERI  EPS ERI
ZET ERI  EPS ERI
ZET ERI  ETA ERI
ZET ERI  ETA ERI
TAU1ERI  ETA ERI
TAU1ERI  TAU2ERI
TAU3ERI  TAU2ERI
TAU3ERI  TAU4ERI
TAU5ERI  TAU4ERI
TAU5ERI  TAU6ERI
TAU9ERI  TAU6ERI
TAU9ERI  UPS1ERI
UPS2ERI  UPS1ERI
UPS2ERI  UPS3ERI
UPS4ERI  UPS3ERI
THE1ERI  IOT ERI
S   ERI  IOT ERI
S   ERI  IOT ERI
KAP ERI  PHI ERI
CHI ERI  PHI ERI
CHI ERI  ALP ERI

ALP GEM  RHO GEM
TAU GEM  RHO GEM
TAU GEM  THE GEM
TAU GEM  IOT GEM
UPS GEM  IOT GEM
UPS GEM  BET GEM
UPS GEM  KAP GEM
UPS GEM  DEL GEM
ZET GEM  DEL GEM
ZET GEM  XI  GEM
ZET GEM  GAM GEM
TAU GEM  EPS GEM
NU  GEM  EPS GEM
MU  GEM  EPS GEM
MU  GEM  ETA GEM

IOT HER  THE HER
RHO HER  THE HER
RHO HER  PI  HER
ETA HER  PI  HER
ETA HER  SIG HER
TAU HER  SIG HER
TAU HER  PHI HER
EPS HER  PI  HER
EPS HER  DEL HER
LAM HER  DEL HER
LAM HER  MU  HER
XI  HER  MU  HER
XI  HER  OMI HER
109 HER  OMI HER
109 HER  110 HER
111 HER  110 HER
109 HER  102 HER
EPS HER  ZET HER
ETA HER  ZET HER
BET HER  ZET HER
BET HER  GAM HER
BET HER  ALP1HER

DEL UMI  ALP UMI
DEL UMI  EPS UMI
ZET UMI  EPS UMI
ZET UMI  BET UMI
GAM UMI  BET UMI
GAM UMI  ETA UMI
ZET UMI  ETA UMI

PI  HYA  GAM HYA
BET HYA  GAM HYA
BET HYA  XI  HYA
CHI1HYA  XI  HYA
CHI1HYA  NU  HYA
MU  HYA  NU  HYA
MU  HYA  LAM HYA
UPS1HYA  LAM HYA
UPS1HYA  KAP HYA
ALP HYA  KAP HYA
ALP HYA  IOT HYA
THE HYA  IOT HYA
THE HYA  ZET HYA
EPS HYA  ZET HYA
EPS HYA  DEL HYA
SIG HYA  DEL HYA
SIG HYA  ETA HYA
ZET HYA  ETA HYA

BET LAC  ALP LAC
4   LAC  ALP LAC
4   LAC  5   LAC
2   LAC  5   LAC
2   LAC  6   LAC

SIG LEO  IOT LEO
THE LEO  IOT LEO
THE LEO  BET LEO
DEL LEO  BET LEO
DEL LEO  GAM1LEO
ZET LEO  GAM1LEO
ZET LEO  MU  LEO
EPS LEO  MU  LEO
EPS LEO  LAM LEO
KAP LEO  LAM LEO
GAM1LEO  ETA LEO
ALP LEO  ETA LEO
ALP LEO  OMI LEO
ALP LEO  THE LEO
MU  LEO  KAP LEO

46  LMI  BET LMI
21  LMI  BET LMI

THE LEP  ETA LEP
ZET LEP  ETA LEP
ZET LEP  ALP LEP
MU  LEP  ALP LEP
MU  LEP  LAM LEP
KAP LEP  LAM LEP
ALP LEP  BET LEP
GAM LEP  BET LEP
GAM LEP  DEL LEP
ALP LEP  DEL LEP
BET LEP  EPS LEP

48  LIB  THE LIB
ETA LIB  THE LIB
ETA LIB  GAM LIB
BET LIB  GAM LIB
BET LIB  ALP1LIB
SIG LIB  ALP1LIB
SIG LIB  UPS LIB
TAU LIB  UPS LIB
SIG LIB  BET LIB

THE LUP  ETA LUP
GAM LUP  ETA LUP
GAM LUP  EPS LUP
MU  LUP  EPS LUP
MU  LUP  ZET LUP
ALP LUP  ZET LUP
ALP LUP  BET LUP
DEL LUP  BET LUP
DEL LUP  PHI1LUP
CHI LUP  PHI1LUP

ALP LYN  38  LYN
37  LYN  38  LYN
37  LYN  31  LYN
21  LYN  31  LYN
21  LYN  15  LYN
12  LYN  15  LYN
12  LYN  2   LYN

ZET MON  ALP MON
DEL MON  ALP MON
DEL MON  BET MON
GAM MON  BET MON
GAM MON  EPS MON
13  MON  EPS MON
13  MON  15  MON

ZET PER  XI  PER
EPS PER  XI  PER
EPS PER  NU  PER
NU  PER  DEL PER
ALP PER  DEL PER
ALP PER  GAM PER
ETA PER  GAM PER
ETA PER  TAU PER
IOT PER  TAU PER
IOT PER  KAP PER
BET PER  KAP PER
BET PER  RHO PER

ALP PEG  GAM PEG
ALP AND  GAM PEG
ALP AND  BET PEG
ETA PEG  BET PEG
ETA PEG  PI2 PEG
KAP PEG  PI2 PEG
KAP PEG  1   PEG
9   PEG  1   PEG
9   PEG  EPS PEG
THE PEG  EPS PEG
THE PEG  ZET PEG
ALP PEG  ZET PEG
ALP PEG  BET PEG

NU  OPH  GAM OPH
BET OPH  GAM OPH
BET OPH  ALP OPH
KAP OPH  ALP OPH
KAP OPH  DEL OPH
EPS OPH  DEL OPH
EPS OPH  ZET OPH
ETA OPH  ZET OPH
ETA OPH  BET OPH
ETA OPH  XI  OPH
44  OPH  XI  OPH
44  OPH  THE OPH
36  OPH  THE OPH
36  OPH  45  OPH

SIG PSC  TAU PSC
UPS PSC  TAU PSC
UPS PSC  PHI PSC
ETA PSC  PHI PSC
ETA PSC  OMI PSC
ALP PSC  OMI PSC
ALP PSC  MU  PSC
MU  PSC  EPS PSC
