ALP UMA  BET UMA
ALP UMA  DEL UMA
BET UMA  GAM UMA
DEL UMA  GAM UMA
DEL UMA  EPS UMA
ZET UMA  EPS UMA
ZET UMA  ETA UMA
ALP UMA  23  UMA
OMI UMA  23  UMA
OMI UMA  SIG2UMA
ALP UMA  23  UMA
PHI UMA  UPS UMA
PHI UMA  THE UMA
IOT UMA  THE UMA
KAP UMA  THE UMA
BET UMA  PHI UMA
GAM UMA  CHI UMA
PSI UMA  CHI UMA
PSI UMA  LAM UMA
PSI UMA  MU  UMA
UPS UMA  23  UMA
24  UMA  23  UMA
24  UMA  SIG2UMA

ALP ORI  ZET ORI
ALP ORI  LAM ORI
GAM ORI  LAM ORI
GAM ORI  DEL ORI
EPS ORI  DEL ORI
EPS ORI  ZET ORI
DEL ORI  BET ORI
ZET ORI  KAP ORI
BET ORI  KAP ORI
GAM ORI  PI 3ORI
PI 3ORI  PI 4ORI
PI 4ORI  PI 5ORI
PI 5ORI  PI 6ORI
PI 3ORI  PI 2ORI
PI 2ORI  PI 1ORI
ALP ORI  MU  ORI
XI  ORI  MU  ORI
XI  ORI  NU  ORI
CHI2ORI  XI  ORI
CHI1ORI  NU  ORI
PI 1ORI  OMI2ORI
11  ORI  OMI2ORI
15  ORI  11  ORI
CHI1ORI  CHI2ORI

MU  LEP  ALP LEP
ALP LEP  BET LEP
GAM LEP  BET LEP
GAM LEP  DEL LEP
ALP LEP  DEL LEP
BET LEP  EPS LEP

ALP GEM  RHO GEM
TAU GEM  RHO GEM
TAU GEM  THE GEM
TAU GEM  IOT GEM
UPS GEM  IOT GEM
UPS GEM  BET GEM
UPS GEM  KAP GEM
UPS GEM  ZET GEM
ZET GEM  XI  GEM
ZET GEM  GAM GEM
TAU GEM  EPS GEM
NU  GEM  EPS GEM
MU  GEM  EPS GEM
MU  GEM  ETA GEM

ALP AUR  EPS AUR
ALP AUR  BET AUR
THE AUR  BET AUR
THE AUR  BET TAU
IOT AUR  BET TAU
EPS AUR  IOT AUR
EPS AUR  ETA AUR
ZET AUR  ETA AUR
ZET AUR  EPS AUR
EPS TAU  BET TAU
EPS TAU  GAM TAU
EPS TAU  ALP TAU
GAM TAU  ALP TAU
ZET TAU  ALP TAU

EPS CMA  SIG CMA
EPS CMA  OMI1CMA
NU2 CMA  OMI1CMA
NU2 CMA  BET CMA
ALP CMA  BET CMA
ALP CMA  OMI2CMA
DEL CMA  OMI2CMA
DEL CMA  OME CMA
ETA CMA  OME CMA
DEL CMA  SIG CMA
ALP CMA  IOT CMA
GAM CMA  IOT CMA
GAM CMA  THE CMA
IOT CMA  THE CMA

ALP CMI  BET CMI

ZET MON  ALP MON
DEL MON  ALP MON
DEL MON  BET MON

ALP CNC  DEL CNC
GAM CNC  DEL CNC
GAM CNC  IOT CNC
DEL CNC  THE CNC
ETA CNC  THE CNC
ETA CNC  GAM CNC
THE CNC  BET CNC

OME ERI  BET ERI
OME ERI  MU  ERI
NU  ERI  MU  ERI
NU  ERI  OMI2ERI
OMI2ERI  GAM ERI
PI  ERI  GAM ERI
PI  ERI  DEL ERI
DEL ERI  EPS ERI
ZET ERI  EPS ERI
ZET ERI  ETA ERI
TAU1ERI  ETA ERI
TAU1ERI  TAU2ERI
TAU3ERI  TAU2ERI
TAU3ERI  TAU4ERI
TAU5ERI  TAU4ERI
TAU5ERI  TAU6ERI
TAU7ERI  TAU6ERI
TAU7ERI  TAU8ERI
TAU9ERI  TAU8ERI
TAU9ERI  UPS1ERI
UPS2ERI  UPS1ERI
UPS2ERI  UPS3ERI
UPS4ERI  UPS3ERI
THE1ERI  IOT ERI
S   ERI  IOT ERI
S   ERI  IOT ERI
KAP ERI  PHI ERI
CHI ERI  PHI ERI
CHI ERI  ALP ERI

56  HYA  51  HYA
PI  HYA  51  HYA
PI  HYA  GAM HYA
GAM HYA  PSI HYA
BET HYA  PSI HYA
BET HYA  XI  HYA
CHI1HYA  XI  HYA
CHI1HYA  NU  HYA
MU  HYA  NU  HYA
MU  HYA  LAM HYA
ALP HYA  LAM HYA
THE HYA  ALP HYA
THE HYA  ZET HYA
EPS HYA  ZET HYA
EPS HYA  DEL HYA
SIG HYA  DEL HYA
SIG HYA  ETA HYA
ZET HYA  ETA HYA

46  LMI  BET LMI
21  LMI  BET LMI

ALP2CVN  BET CVN

ALP COM  BET COM
BET COM  GAM COM

ETA CRT  ZET CRT
ZET CRT  GAM CRT
DEL CRT  GAM CRT
DEL CRT  EPS CRT
THE CRT  EPS CRT
GAM CRT  BET CRT
ALP CRT  BET CRT
ALP CRT  DEL CRT

ALP CRV  EPS CRV
BET CRV  EPS CRV
BET CRV  DEL CRV
GAM CRV  DEL CRV
GAM CRV  EPS CRV

SIG LEO  IOT LEO
THE LEO  CHI LEO
THE LEO  IOT LEO
THE LEO  DEL LEO
DEL LEO  BET LEO
DEL LEO  GAM1LEO
ZET LEO  GAM1LEO
ZET LEO  MU  LEO
EPS LEO  MU  LEO
EPS LEO  LAM LEO
KAP LEO  LAM LEO
GAM1LEO  ETA LEO
ALP LEO  ETA LEO
ALP LEO  OMI LEO
ALP LEO  THE LEO
ALP LEO  PI  LEO
MU  LEO  KAP LEO

TAU VIR  ZET VIR
ETA VIR  BET VIR
ETA VIR  GAM VIR
DEL VIR  GAM VIR
DEL VIR  EPS VIR
GAM VIR  THE VIR
ALP VIR  THE VIR
ALP VIR  KAP VIR
ALP VIR  ZET VIR
TAU VIR  IOT VIR
KAP VIR  IOT VIR
MU  VIR  IOT VIR
EPS VIR  ZET VIR

SIG LIB  GAM LIB
BET LIB  GAM LIB
BET LIB  ALP2LIB
SIG LIB  ALP2LIB

//48  LIB  THE LIB
//ETA LIB  THE LIB
//ETA LIB  GAM LIB
//BET LIB  GAM LIB
//BET LIB  ALP1LIB
//SIG LIB  ALP1LIB
//SIG LIB  UPS LIB
//TAU LIB  UPS LIB
//SIG LIB  BET LIB

ZET BOO  XI  BOO
XI  BOO  PI1 BOO
ZET BOO  PI1 BOO
ALP BOO  PI1 BOO
ALP BOO  ETA BOO
TAU BOO  ETA BOO
TAU BOO  UPS BOO
ETA BOO  UPS BOO
ALP BOO  EPS BOO
DEL BOO  EPS BOO
DEL BOO  BET BOO
GAM BOO  BET BOO
GAM BOO  RHO BOO
ALP BOO  RHO BOO

THE CRB  BET CRB
ALP CRB  BET CRB
ALP CRB  GAM CRB
DEL CRB  GAM CRB
DEL CRB  EPS CRB
IOT CRB  EPS CRB

ALP SCO  PI  SCO
ALP SCO  DEL SCO
ALP SCO  BET1SCO
ALP SCO  TAU SCO
EPS SCO  TAU SCO

KAP SER  GAM SER
BET SER  GAM SER
BET SER  KAP SER
BET SER  DEL SER
ALP SER  DEL SER
ALP SER  EPS SER

EPS SER  DEL OPH
DEL OPH  LAM OPH
KAP OPH  LAM OPH
KAP OPH  ZET OPH
EPS OPH  ZET OPH
EPS OPH  DEL OPH
ZET OPH  ETA OPH
NU  SER  ETA OPH
NU  SER  MU  OPH
BET OPH  MU  OPH
BET OPH  ALP OPH
KAP OPH  ALP OPH

//NU  OPH  GAM OPH
//BET OPH  GAM OPH
//BET OPH  ALP OPH
//KAP OPH  ALP OPH
//KAP OPH  DEL OPH
//EPS OPH  DEL OPH
//EPS OPH  ZET OPH
//ETA OPH  ZET OPH
//ETA OPH  BET OPH
//ETA OPH  XI  OPH
//44  OPH  XI  OPH
//44  OPH  THE OPH
//36  OPH  THE OPH
//36  OPH  45  OPH

ETA OPH  XI  SER
OMI SER  XI  SER
OMI SER  NU  OPH
GAM OPH  NU  OPH
GAM OPH  BET OPH
TAU OPH  NU  OPH
TAU OPH  ETA SER
4   AQL  ETA SER
4   AQL  THE1SER

BET SCT  ALP SCT
ZET SCT  ALP SCT
GAM SCT  ALP SCT

DEL SGR  GAM1SGR
DEL SGR  LAM SGR
MU  SGR  LAM SGR
DEL SGR  EPS SGR
ETA SGR  EPS SGR
DEL SGR  PHI SGR
SIG SGR  PHI SGR

TAU HER  SIG HER
ETA HER  SIG HER
ETA HER  ZET HER
BET HER  ZET HER
BET HER  GAM HER
BET HER  ALP1HER
DEL HER  ALP1HER
DEL HER  EPS HER
ZET HER  EPS HER
PI  HER  EPS HER
PI  HER  ETA HER
PI  HER  RHO HER
THE HER  RHO HER
THE HER  IOT HER
DEL HER  LAM HER
MU  HER  LAM HER
MU  HER  XI  HER
OMI HER  XI  HER

LAM DRA  KAP DRA
ALP DRA  KAP DRA
ALP DRA  IOT DRA
THE DRA  IOT DRA
THE DRA  ETA DRA
ZET DRA  ETA DRA
ZET DRA  PSI1DRA
CHI DRA  PSI1DRA
CHI DRA  EPS DRA
DEL DRA  EPS DRA
DEL DRA  XI  DRA
GAM DRA  XI  DRA
GAM DRA  BET DRA
MU  DRA  BET DRA
MU  DRA  NU2 DRA
NU2 DRA  XI  DRA

DEL UMI  ALP UMI
DEL UMI  EPS UMI
ZET UMI  EPS UMI
ZET UMI  BET UMI
GAM UMI  BET UMI
GAM UMI  ETA UMI
ZET UMI  ETA UMI

ALP CEP  ZET CEP
EPS CEP  DEL CEP
ZET CEP  IOT CEP
GAM CEP  IOT CEP
GAM CEP  BET CEP
BET CEP  IOT CEP
ALP CEP  BET CEP

BET LAC  ALP LAC
4   LAC  ALP LAC
4   LAC  5   LAC
2   LAC  5   LAC
2   LAC  6   LAC

ALP CAS  BET CAS
ALP CAS  GAM CAS
DEL CAS  GAM CAS
DEL CAS  EPS CAS

GAM SGE  DEL SGE
ALP SGE  DEL SGE
BET SGE  DEL SGE

ALP CYG  GAM CYG
DEL CYG  GAM CYG
DEL CYG  THE CYG
GAM CYG  EPS CYG
ZET CYG  EPS CYG
GAM CYG  ETA CYG
BET1CYG  ETA CYG

ALP LYR  ZET1LYR
ZET1LYR  DEL2LYR
GAM LYR  DEL2LYR
GAM LYR  BET LYR
ZET1LYR  BET LYR

23  VUL  15  VUL
13  VUL  15  VUL 
13  VUL  ALP VUL

ZET AQL  GAM AQL
ALP AQL  GAM AQL
ALP AQL  BET AQL
DEL AQL  BET AQL
THE AQL  BET AQL
DEL AQL  LAM AQL
DEL AQL  GAM AQL

ALP DEL  BET DEL
EPS DEL  BET DEL
DEL DEL  BET DEL
DEL DEL  GAM2DEL
ALP DEL  GAM2DEL

ZET PER  XI  PER
EPS PER  XI  PER
EPS PER  DEL PER
ALP PER  DEL PER
ALP PER  GAM PER
ALP PER  BET PER
ETA PER  GAM PER

ALP TRI  BET TRI
BET TRI  GAM TRI
ALP TRI  GAM TRI

7   CAM  BET CAM
ALP CAM  BET CAM
42  CAM  43  CAM

ALP LYN  38  LYN
37  LYN  38  LYN
37  LYN  31  LYN
21  LYN  31  LYN
21  LYN  15  LYN

ALP EQU  BET EQU
DEL EQU  BET EQU
DEL EQU  GAM EQU

GAM AND  BET AND
MU  AND  BET AND
MU  AND  NU  AND
BET AND  DEL AND
ALP AND  DEL AND
ALP AND  GAM PEG
GAM PEG  ALP PEG
ALP PEG  BET PEG
ALP PEG  ZET PEG
THE PEG  ZET PEG
THE PEG  EPS PEG
31  PEG  EPS PEG
31  PEG  BET PEG
ALP AND  BET PEG
MU  PEG  BET PEG
MU  PEG  LAM PEG
IOT PEG  LAM PEG
IOT PEG  KAP PEG
IOT PEG  KAP PEG
BET PEG  ETA PEG
PI2 PEG  ETA PEG

DEL ARI  41  ARI
ALP ARI  41  ARI
ALP ARI  BET ARI
GAM1ARI  BET ARI

SIG PSC  TAU PSC
UPS PSC  TAU PSC
UPS PSC  PHI PSC
PHI PSC  CHI PSC
ETA PSC  CHI PSC
ETA PSC  OMI PSC
ALP PSC  OMI PSC
ALP PSC  MU  PSC
MU  PSC  EPS PSC
DEL PSC  EPS PSC
DEL PSC  OME PSC
IOT PSC  OME PSC
IOT PSC  THE PSC
GAM PSC  THE PSC
GAM PSC  BET PSC
GAM PSC  KAP PSC
LAM PSC  KAP PSC
LAM PSC  OME PSC

DEL CAP  GAM CAP
IOT CAP  GAM CAP
IOT CAP  THE CAP
BET CAP  THE CAP
BET CAP  RHO CAP
PSI CAP  RHO CAP
